No	Image	Label
77	a01-000x-02-05.png	.
78	a01-000x-02-06.png	Mr.
79	a01-000x-02-07.png	Michael
80	a01-000x-03-00.png	Foot
81	a01-000x-03-01.png	has
82	a01-000x-03-02.png	put
83	a01-000x-03-03.png	down
84	a01-000x-03-04.png	a
85	a01-000x-03-05.png	resolution
86	a01-000x-03-06.png	on
87	a01-000x-03-07.png	the
88	a01-000x-03-08.png	subject
89	a01-000x-04-00.png	and
90	a01-000x-04-01.png	he
91	a01-000x-04-02.png	is
92	a01-000x-04-03.png	to
93	a01-000x-04-04.png	be
94	a01-000x-04-05.png	backed
95	a01-000x-04-06.png	by
96	a01-000x-04-07.png	Mr.
97	a01-000x-04-08.png	Will
98	a01-000x-04-09.png	Griffiths
99	a01-000x-04-10.png	,
100	a01-000x-05-00.png	0M
101	a01-000x-05-01.png	for
102	a01-000x-05-02.png	Manchester
103	a01-000x-05-03.png	Exchange
104	a01-000x-05-04.png	.
105	a01-003-00-00.png	Though
106	a01-003-00-01.png	they
107	a01-003-00-02.png	may
108	a01-003-00-03.png	gather
109	a01-003-00-04.png	some
110	a01-003-00-05.png	Left-wing
111	a01-003-00-06.png	support
112	a01-003-00-07.png	,
113	a01-003-00-08.png	a
114	a01-003-01-00.png	large
115	a01-003-01-01.png	majority
116	a01-003-01-02.png	of
117	a01-003-01-03.png	Labour
118	a01-003-01-04.png	M
119	a01-003-01-05.png	are
120	a01-003-01-06.png	likely
121	a01-003-01-07.png	to
122	a01-003-02-00.png	turn
123	a01-003-02-01.png	down
124	a01-003-02-02.png	the
125	a01-003-02-03.png	Foot-Griffiths
126	a01-003-02-04.png	resolution
127	a01-003-02-05.png	.
128	a01-003-02-06.png	Mr.
129	a01-003-03-00.png	Foot's
130	a01-003-03-01.png	line
131	a01-003-03-02.png	will
132	a01-003-03-03.png	be
133	a01-003-03-04.png	that
134	a01-003-03-05.png	as
135	a01-003-03-06.png	Labour
136	a01-003-03-07.png	M
137	a01-003-04-00.png	opposed
138	a01-003-04-01.png	the
139	a01-003-04-02.png	Government
140	a01-003-04-03.png	Bill
141	a01-003-04-04.png	which
142	a01-003-04-05.png	brought
143	a01-003-05-00.png	life
144	a01-003-05-01.png	peers
145	a01-003-05-02.png	into
146	a01-003-05-03.png	existence
147	a01-003-05-04.png	,
148	a01-003-05-05.png	they
149	a01-003-05-06.png	should
150	a01-003-05-07.png	not
151	a01-003-06-00.png	now
152	a01-003-06-01.png	put
153	a01-003-06-02.png	forward
154	a01-003-06-03.png	nominees
155	a01-003-06-04.png	.
156	a01-003-06-05.png	He
157	a01-003-06-06.png	believes
158	a01-003-07-00.png	that
159	a01-003-07-01.png	the
160	a01-003-07-02.png	House
161	a01-003-07-03.png	of
162	a01-003-07-04.png	Lords
163	a01-003-07-05.png	should
164	a01-003-07-06.png	be
165	a01-003-07-07.png	abolished
166	a01-003-08-00.png	and
167	a01-003-08-01.png	that
168	a01-003-08-02.png	Labour
169	a01-003-08-03.png	should
170	a01-003-08-04.png	not
171	a01-003-08-05.png	take
172	a01-003-08-06.png	any
173	a01-003-08-07.png	steps
174	a01-003-09-00.png	which
175	a01-003-09-01.png	would
176	a01-003-09-02.png	appear
177	a01-003-09-03.png	to
178	a01-003-09-04.png	""""
179	a01-003-09-05.png	prop
180	a01-003-09-06.png	up
181	a01-003-09-07.png	""""
182	a01-003-09-08.png	an
183	a01-003-09-09.png	out-dated
184	a01-003-10-00.png	institution
185	a01-003-10-01.png	.
186	a01-003u-00-00.png	Though
187	a01-003u-00-01.png	they
188	a01-003u-00-02.png	may
189	a01-003u-00-03.png	gather
190	a01-003u-00-04.png	some
191	a01-003u-00-05.png	Left-wing
192	a01-003u-01-00.png	support
193	a01-003u-01-01.png	,
194	a01-003u-01-02.png	a
195	a01-003u-01-03.png	large
196	a01-003u-01-04.png	majority
197	a01-003u-01-05.png	of
198	a01-003u-01-06.png	Labour
199	a01-003u-02-00.png	M
200	a01-003u-02-01.png	are
201	r06-022-03-05.png	.
202	a01-117-05-02.png	.
